post	target	implied_statement
islam must be eradicated. third jihad is coming to an end. no more obama protection. deport all muslims.	Muslims	Muslims should be deported
the southern poverty law center almost got me killed . why does the media still propagate its hate map ?	southerners	Southerners are violent.
the heroic drama : dr . goebbels calls volkssturm for national defense ( video ) via	Minorities	Minorities are subhuman
not to mention jews are listed as whites  so the white per capita number is already distorted ...	Jews	Jews are lower than whites.
jews crown miss holocaust survivor in morbid beauty pageant #withjewswelose	Jews	Jews are sinister
we need to create safe zones in the countries creating refugees keep refugees in there home country usa does not need more 3rd world losers!	refugees	refugees entering in the USA
milo  trump  and white identity politics #tlot	Whites	Whites play racist political games.
a great candidate for the pine box deportation method, guaranteed to prevent recidivism.	immigrants	Immigrants should not receive any help
" court finds shooter floyd corkins used website to determine targets . labeling  "" hate groups "" "" must end ! #tcot """	Progressives	Progressives are violent murderers.
pegida is all about saving white race from onslaught of islam . hitler was saving his race from ill effects . his people voted 4him	Muslims	Muslims want to conquer the white race
the us & mexican governments should build joint prison facilities along the border to house these repeat criminals. release to mx after	Immigrants	Immigrants are criminals
white genocide could be code for ending race . an amorphous cultureless slave race is what they want .	Minorities	Minorities are looking to destroy the white race
the left wants white pipo to go away ...	Liberals	liberals don't like white people
: #arizona politician proposes a special holiday for white people #altoarizona #immigration	Minorities	Minorities are the lesser races.
we should militarize our borders , transfer all basic training to the border states ! use patrols and apprehensions as part of basic !	Immigrants	Immigrants should be expelled using military force.
their ideologies are inspired by their merciless violent repressive culture to subdue others under the pain of death .	Ideologues	Ideologues oppress others
lahore was a beautiful city dominated by sikhs and hindus ... we lost it ...	Muslims	Muslims banishes Non-Muslims
because the media do not care if your white and are attacked by leftist  illegals  or any other race	People of color, Democrats	People of color and democrats don't care about white people
expulsion of white farmers has destroyed zimbabwe  afrocentric marxism has been a catastrophe for the black race :	Blacks	Blacks can't self govern themselves
as if the wall going to stop illegal aliens like , great wall of china stopped mongols	Immigrants	Immigrants should be deported
the white race are abolishing themselves by worship of false gods	white people	White people worship false gods.
is britain ready for a lunatic muslim ?	Muslims	Muslims are crazy savages
" try thinking of some of our ideas & replace jews do .. w  "" "" white males "" "" shouldn't & think .. """	white males	White males are better than Jews.
why dont the british take the dreamers. they are here illegally and need to be deported. only 45% of dreamers have a hs education. what is their benefit to our economy.	Immigrants	Immigrants have to be deported
jews are the cause of white genocide they have taken a side to extinguish ...	Jews	Jews are responsible for white genocide
hey jared  jews may look white  but they sure dont act white ! | daily stormer	Jews	Jews are not white
they simply need to enforce the border laws & reverse anti-white / anti-family propaganda . spencer's opinion is not realistic .	white folks	pro white
"ridiculous garbage wackos spewing"""" excellent words i'm sure you can back up?"	Immigrants	Immigrants are idiots
why don't they ever dream of returning to their 3rd world cesspools and turning them into 1st world civilizations?	Immigrants	The countries that the immigrants came from are 'cesspools' and they should return to their countries instead of staying in the US, and turn their own countries into a 1st world country.
preparing for race war : the south african bootcamps which are training thousands of white youths via	South Africans	South Africans are violent.
your demos are changing the face of white genocide  hunter ? glad you found friends .	Minorities	Minorities want to wipe out whites.
blacks and jews hate the white race . we need to have our own nation and get away from them .	Blacks and Jews	Blacks and Jews hate white people.
